Time,Y
10.847,3.151247
10.857,3.118166
10.867,3.142715
10.877,3.114873
10.887,3.068768
10.897,3.100502
10.907,3.015629
10.918,2.965783
10.928,2.958598
10.938,2.910398
10.948,2.869682
10.958,2.875969
10.968,2.889142
10.978,2.927462
10.988,3.090324
10.998,3.204985
11.008,3.204536
11.018,3.196154
11.028,3.309917
11.038,3.395838
11.048,3.439697
11.058,3.43371
11.068,3.377127
11.078,3.328927
11.088,3.348237
11.098,3.373535
11.108,3.353027
11.118,3.393443
11.128,3.467839
11.138,3.556754
11.148,3.608396
11.158,3.604953
11.168,3.570525
11.178,3.523822
11.188,3.489693
11.198,3.483706
11.209,3.511847
11.219,3.522176
11.229,3.571723
11.239,3.560496
11.249,3.516338
11.259,3.518583
11.269,3.469186
11.279,3.400479
11.289,3.331921
11.299,3.251389
11.309,3.206482
11.319,3.201393
11.329,3.193459
11.339,3.147355
11.349,3.137326
11.359,3.177742
11.369,3.224894
11.379,3.146607
11.389,3.106939
11.399,3.057093
11.409,2.951862
11.419,2.951562
11.429,2.973117
11.439,2.963837
11.449,2.991679
11.459,3.043022
11.469,3.080145
11.479,3.126099
11.489,3.128644
11.5,3.094365
11.51,3.081791
11.52,3.106191
11.53,3.136128
11.54,3.179388
11.55,3.253335
11.56,3.315156
11.57,3.387905
11.58,3.405269
11.59,3.330424
11.6,4.070036
11.61,5.362149
11.62,2.415078
11.63,1.434018
11.64,1.989662
11.65,2.116449
11.66,2.449806
11.67,2.663711
11.68,2.814298
11.69,2.74574
11.7,2.858605
11.71,3.076103
11.72,3.247347
11.73,3.326383
11.74,3.220403
11.7500051269531,3.080893
11.76,2.975512
11.77,2.96683
11.78,3.014282
11.791,3.034041
11.801,3.025359
11.811,2.999912
11.821,2.960993
11.831,2.95755
11.841,2.931803
11.851,2.83226
11.861,2.723137
11.871,2.643203
11.881,2.62554
11.891,2.700983
11.901,2.840343
11.911,3.016677
11.921,3.11113
11.931,3.176095
11.941,3.252886
11.951,3.29884
11.961,3.364553
11.971,3.660338
11.981,7.213799
11.991,5.522915
12.001,1.539998
12.011,0.002395
12.021,0.584834
12.031,0.926423
12.041,2.030827
12.051,2.565365
12.061,2.163152
12.071,2.572401
12.081,2.946772
12.092,3.31321
12.102,3.609893
12.112,3.651806
12.122,3.566334
12.132,3.446583
12.142,3.263214
12.152,3.162923
12.162,3.118016
12.172,3.120411
12.182,3.044369
12.192,2.951712
12.202,2.935546
12.212,2.912344
12.222,2.907254
12.232,2.888244
12.242,2.900069
12.252,2.905009
12.262,2.897076
12.272,2.999163
12.282,3.062781
12.292,3.095413
12.302,3.088677
12.312,3.083887
12.322,3.113226
12.332,3.134482
12.342,3.190765
12.352,3.252437
12.362,3.287613
